,P(ECS <1),P(ECS <1.5),P(ECS <2),P(ECS >4),P(ECS >4.5),P(ECS >6),P(1.5 -4.5),5th %ile,10th %ile,17th %ile,20th %ile,25th %ile,50th %ile,75th %ile,80th %ile,83rd %ile,90th %ile,95th %ile,Mode,Mean
"US1_HIST_ALT3 Posterior,0.0000,2.9441,14.4653,26.0516,19.6901,9.9434,77.3659,1.6250,1.8450,2.0650,2.1450,2.2850,2.9550,4.0650,4.4650,4.7750,5.9750,8.0850,2.4550,3.6572
US1_HIST_ALT4 Posterior",0,1.5917,9.2345,32.8322,25.0977,12.7883,73.3106,1.785,2.025,2.265,2.365,2.505,3.265,4.495,4.945,5.305,6.665,9.005,2.595,4.0263
"US1_HIST_CMIP5PAT Posterior,0.0000,0.4523,2.6995,72.7343,67.0384,53.5258,32.5093,2.2550,2.6850,3.2050,3.4250,3.8050,6.4750,11.6950,13.1950,14.1950,16.9550,19.6850,3.1250,8.3086
US1_HIST_HALFPAT Posterior",0,0.1131,0.8233,84.125,79.2373,66.0985,20.6496,2.805,3.385,4.105,4.415,4.945,8.365,13.625,14.975,15.855,18.275,20.695,3.865,9.7313
"US1_HIST_NOPAT Posterior,0.0000,0.9785,5.6555,56.6141,50.1267,36.6951,48.8948,1.9450,2.2450,2.5850,2.7250,2.9550,4.5050,8.2250,9.6350,10.6650,13.8450,17.2150,2.7350,6.3967
US1_HIST_NOPAT_NO_FHIST_UNCERT Posterior",0,0.0721,0.6608,60.8912,44.6933,13.0533,55.2346,2.645,2.965,3.275,3.385,3.555,4.325,5.245,5.515,5.695,6.285,7.025,4.015,4.519
"US1_HIST_NOPAT_REDUCE_DTDN_UNCERT Posterior,0.0000,0.7005,4.8256,55.8894,49.3376,35.9977,49.9619,2.0050,2.2950,2.6150,2.7450,2.9650,4.4350,8.0950,9.4950,10.5250,13.7250,17.1350,2.6650,6.3448
US1_HIST_NOPAT_REDUCE_FHIST_UNCERT Posterior",0,0.0749,0.687,61.3143,45.7479,15.1211,54.1772,2.635,2.955,3.265,3.375,3.555,4.345,5.345,5.635,5.845,6.515,7.425,3.955,4.6174
"US1_NOPROCBU Posterior,0.0000,0.0461,1.3977,37.7149,24.9160,6.9835,75.0380,2.2950,2.5250,2.7550,2.8450,2.9750,3.6250,4.4850,4.7450,4.9350,5.5550,6.4050,3.1750,3.9048
US1_PALEO Posterior",0,0.8089,5.9838,33.3025,23.0399,7.6264,76.1512,1.935,2.185,2.435,2.535,2.685,3.405,4.385,4.675,4.895,5.615,6.595,2.895,3.7351
"US1_PALEOCOLD Posterior,0.0000,1.7967,7.7926,55.4508,49.1298,35.8629,49.0735,1.8050,2.1150,2.4650,2.6150,2.8550,4.4150,8.0650,9.4750,10.5050,13.6850,17.0050,2.5650,6.2687
US1_PALEOHOT Posterior",0,3.8084,8.8309,51.063,41.28,20.7779,54.9117,1.635,2.075,2.505,2.665,2.905,4.045,5.595,6.075,6.425,7.625,9.335,3.395,4.5804
"US1_PRIOR Posterior,0.0000,7.2890,9.7424,80.4416,77.9881,70.6277,14.7228,1.0250,2.0450,3.4650,4.0750,5.0950,10.2050,15.5250,16.7250,17.5050,19.6250,21.7950,0.8450,10.6095
US1_PROCBU Posterior",0,0.3994,2.6773,64.2284,56.1674,38.7385,43.4332,2.235,2.595,2.985,3.145,3.405,4.935,8.125,9.355,10.295,13.355,16.785,3.305,6.5668
"US2 Posterior,0.0000,0.0323,1.2024,31.6554,18.4028,3.3660,81.5648,2.3150,2.5350,2.7450,2.8250,2.9450,3.5050,4.2150,4.4250,4.5550,5.0250,5.6250,3.2750,3.6883
US2_FULL Posterior",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US2_FULL_PRIOR Posterior,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
US2_MEDIUM_SAMPLE Posterior",0,0.0329,1.1507,31.3787,18.3447,3.385,81.6224,2.315,2.535,2.745,2.825,2.945,3.505,4.205,4.415,4.555,5.035,5.645,3.335,3.6872
"US2_MEDIUM_SAMPLE_FAT Posterior,0.0000,0.1215,1.8591,34.1861,21.6736,5.5761,78.2049,2.2450,2.4850,2.7150,2.7950,2.9250,3.5350,4.3350,4.5750,4.7450,5.3250,6.1250,3.4050,3.7919
US2_PRIOR Posterior",0,7.0482,9.5064,80.6575,78.1988,70.8227,14.753,1.075,2.095,3.515,4.125,5.145,10.235,15.545,16.745,17.525,19.645,21.815,0.085,10.641
"US2_PROCBU Posterior,0.0000,0.3873,2.6052,64.8211,56.8109,39.3970,42.8018,2.2450,2.6050,3.0050,3.1650,3.4350,4.9850,8.2350,9.4950,10.4350,13.5050,16.9150,3.3550,6.6327
US2_UNRESTRICTED_LI Posterior",0,0.0017,0.0307,0.8994,0.0286,0.0039,99.9696,2.245,2.245,2.255,2.255,2.785,3.355,3.365,3.365,3.365,3.365,3.595,3.355,3.0888
